##SYN
	0	
00022099	0	return to consciousness; 'These pictures bring back sad memories'
00022316	0	cause to be calm or quiet as by administering a sedative to; 'The patient must be sedated before the operation'
00022686	0	cause to be alert and energetic; 'Coffee and tea stimulate me'; 'This herbal infusion doesn't stimulate'
00023244	0	deprive of energy
00023380	0	inject with libidinal energy
00023473	0	gain or regain energy; 'I picked up after a nap'
00023646	0	pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain
00023868	0	lose consciousness due to a sudden trauma, for example
00024047	0	return to consciousness; 'The patient came to quickly'; 'She revived after the doctor gave her an injection'
00024279	0	give new life or energy to; 'A hot soup will revive me'; 'This will renovate my spirits'; 'This treatment repaired my health'
00024649	0	make fresh again
00024814	0	become or make oneself fresh again; 'She freshened up after the tennis game'
00025034	0	wash one's face and hands; 'She freshened up in the bathroom'
00025203	0	cause to be tense and uneasy or nervous or anxious; 'he got a phone call from his lawyer that tensed him up'
00025510	0	twist (a body part) into a strained position; 'crick your neck'
00025654	0	cause to feel relaxed; 'A hot bath always relaxes me'
00025985	0	release from mental strain, tension, or formality; 'unbend the mind from absorbing too much information'
00026153	0	become tense, nervous, or uneasy; 'He tensed up when he saw his opponent enter the room'
00026385	0	become less tense, rest, or take one's ease; 'He relaxed in the hot tub'; 'Let's all relax after a hard day's work'
00026734	0	engage in passive relaxation; 'After a hard day's work, I vegetate in front of the television'
00026941	0	settle into a comfortable sitting position
00027064	0	make one's body limber or suppler by stretching, as if to prepare for strenuous physical activity
00027268	0	extend one's limbs or muscles, or the entire body; 'Stretch your legs!'; 'Extend your right arm above your head'
00027570	0	stretch out completely; 'They spread-eagled him across the floor'
00027705	0	thrust or extend out; 'He held out his hand'; 'point a finger'; 'extend a hand'; 'the bee exserted its sting'
00028010	0	extend a joint beyond its normal range; 'Don't hyperextend your elbow'
00028167	0	stretch (the neck) so as to see better; 'The women craned their necks to see the President drive by'
00028362	0	impart vigor, strength, or vitality to; 'Exercise is invigorating'
00028565	0	change one's facial expression by spreading the lips, often to signal pleasure
00028876	0	produce dimples while smiling; 'The child dimpled up to the adults'
00029025	0	to draw back the lips and reveal the teeth, in a smile, grimace, or snarl
00029214	0	smile radiantly; express joy through one's facial expression
00029336	0	smile affectedly or derisively
00029518	0	to smirk contemptuously
00029630	0	laugh loudly and harshly
00029742	0	laugh a deep, hearty laugh
00029836	0	laugh unrestrainedly and heartily
00030010	0	laugh quietly
00030142	0	laugh nervously; 'The girls giggled when the rock star came into the classroom'
00030366	0	laugh unrestrainedly
